i,e,rel_e
0,-344.3707275390625,1.980377197265625
1,-345.7493591308594,0.60174560546875
2,-346.0653991699219,0.28570556640625
3,-346.207275390625,0.143829345703125
4,-346.2638854980469,0.08721923828125
5,-346.2936706542969,0.05743408203125
6,-346.313232421875,0.037872314453125
7,-346.3511047363281,0.0
8,-344.35748291015625,1.993621826171875
